iter	Passed	Remaining
191	25451	40828
192	25565	40666
193	25681	40507
194	25801	40355
195	25933	40222
196	26049	40065
197	26160	39900
198	26276	39744
199	26401	39602
200	26518	39447
201	26634	39292
202	26752	39140
203	26871	38990
204	26985	38833
205	27102	38680
206	27217	38525
207	27342	38384
208	27473	38252
209	27623	38147
210	27789	38062
211	27945	37963
212	28073	37826
213	28220	37715
214	28340	37567
215	28455	37413
216	28572	37262
217	28688	37110
218	28806	36961
219	28930	36821
220	29052	36677
221	29165	36522
222	29290	36382
223	29409	36236
224	29537	36101
225	29652	35949
226	29774	35807
227	29894	35663
228	30019	35524
229	30169	35415
230	30294	35277
231	30414	35133
232	30525	34980
233	30638	34828
234	30760	34687
235	30872	34535
236	30995	34396
237	31110	34248
238	31221	34094
239	31337	33948
240	31454	33803
241	31570	33657
242	31686	33511
243	31805	33369
244	31926	33229
245	32044	33086
246	32161	32942
247	32292	32813
248	32428	32688
249	32569	32569
250	32712	32451
251	32844	32322
252	32975	32193
253	33123	32080
254	33265	31961
255	33478	31909
256	33657	31823
257	33776	31681
258	33894	31539
259	34009	31392
260	34130	31253
261	34248	31111
262	34362	30965
263	34478	30821
264	34595	30678
265	34706	30531
266	34822	30387
267	34939	30246
268	35062	30109
269	35179	29967
270	35296	29825
271	35411	29683
272	35529	29543
273	35652	29406
274	35775	29270
275	35905	29140
276	36030	29006
277	36156	28873
278	36278	28736
279	36395	28596
280	36512	28456
281	36626	28314
282	36748	28178
283	36866	28039
284	36981	27898
285	37102	27762
286	37228	27629
287	37378	27514
288	37495	27375
289	37612	27236
290	37729	27097
291	37845	26958
292	37963	26820
293	38079	26681
294	38197	26543
295	38316	26407
296	38435	26270
297	38548	26130
298	38664	25992
299	38781	25854
300	38909	25724
301	39027	25587
302	39139	25447
303	39255	25309
304	39367	25169
305	39489	25035
306	39601	24896
307	39719	24759
308	39837	24624
309	39959	24491
310	40070	24351
311	40186	24215
312	40299	24076
313	40412	23938
314	40523	23799
315	40641	23664
316	40756	23528
317	40871	23391
318	40984	23254
319	41096	23116
320	41213	22981
321	41331	22847
322	41447	22712
323	41561	22576
324	41679	22442
325	41798	22309
326	41908	22171
327	42021	22035
328	42138	21901
329	42253	21767
330	42369	21632
331	42496	21504
332	42614	21371
333	42732	21238
334	42851	21105
335	42973	20975
336	43092	20843
337	43209	20709
338	43326	20577
339	43443	20444
340	43584	20322
341	43751	20212
342	43883	20086
343	44019	19962
344	44139	19830
345	44270	19704
346	44391	19573
347	44516	19444
348	44632	19310
349	44745	19176
350	44862	19044
351	44982	18912
352	45114	18787
353	45242	18659
354	45368	18530
355	45487	18399
356	45608	18269
357	45722	18135
358	45855	18010
359	45980	17881
360	46119	17757
361	46239	17627
362	46362	17497
363	46499	17373
364	46621	17243
365	46737	17111
366	46848	16977
367	46964	16845
368	47083	16715
369	47198	16583
370	47318	16453
371	47447	16325
372	47565	16195
373	47689	16066
374	47814	15938
375	47936	15808
376	48056	15678
377	48186	15552
378	48325	15428
379	48454	15301
380	48603	15180
381	48738	15055
382	48879	14931
383	49011	14805
384	49150	14681
385	49290	14557
386	49423	14431
387	49558	14305
388	49688	14178
389	49807	14048
390	49926	13918
391	50053	13790
392	50178	13661
393	50297	13531
394	50435	13406
395	50570	13281
396	50688	13150
397	50815	13022
398	50939	12894
